date,mandi_id,crop_name,arrival_quantity_qtl,farmer_count,arrival_record_count,arrival_per_farmer_qtl,min_price,max_price,modal_price,msp,price_record_count,mandi_name,district,state,price_gap,price_gap_percent,below_msp
2026-01-01,MANDI001,Cotton,,,,,6314.0,7889.0,,6620.0,1.0,Hyderabad Mandi,Ludhiana,Punjab,,,
2026-01-01,MANDI001,Maize,232.56,62.0,2.0,3.75,,,,,,Hyderabad Mandi,Ludhiana,Punjab,,,
2026-01-01,MANDI001,Sugarcane,499.91,83.0,1.0,6.02,,,,,,Hyderabad Mandi,Ludhiana,Punjab,,,
2026-01-01,MANDI003,Mustard,46.01,62.0,1.0,0.74,,,,,,Vijayawada Mandi,Ludhiana,Punjab,,,
2026-01-01,MANDI003,Rice,,,,,,2495.95,2248.0,,1.0,Vijayawada Mandi,Ludhiana,Punjab,,,
2026-01-01,MANDI004,Cotton,,,,,6673.83,7825.48,7249.66,6620.0,1.0,Khandwa Grain Market,Ludhiana,Punjab,629.66,9.51,0.0
2026-01-01,MANDI004,Sugarcane,428.33,145.0,1.0,2.95,,,,,,Khandwa Grain Market,Ludhiana,Punjab,,,
2026-01-01,MANDI004,Wheat,,,,,1997.69,,2063.64,2275.0,1.0,Khandwa Grain Market,Ludhiana,Punjab,-211.36,-9.29,1.0
2026-01-01,MANDI005,Cotton,,,,,6102.2,6418.63,,6620.0,1.0,Bhilwara Grain Market,Amritsar,Punjab,,,
2026-01-01,MANDI005,Rice,112.64,,1.0,,,,,,,Bhilwara Grain Market,Amritsar,Punjab,,,
2026-01-01,MANDI006,Maize,198.87,26.0,1.0,7.65,,,,,,Kochi Mandi,Amritsar,Punjab,,,
2026-01-01,MANDI007,Cotton,304.66,68.0,1.0,4.48,,,,,,Nashik Mandi,Amritsar,Punjab,,,
2026-01-01,MANDI007,Rice,70.14,,1.0,,,,,,,Nashik Mandi,Amritsar,Punjab,,,
2026-01-01,MANDI008,Cotton,254.13,8.0,1.0,31.77,,,,,,Bijapur Market,Amritsar,Punjab,,,
2026-01-01,MANDI008,Maize,441.14,,1.0,,,,,,,Bijapur Market,Amritsar,Punjab,,,
2026-01-01,MANDI008,Mustard,,,,,5579.67,6616.0,6097.65,5650.0,1.0,Bijapur Market,Amritsar,Punjab,447.65,7.92,0.0
2026-01-01,MANDI009,Cotton,143.97,60.0,1.0,2.4,,,,,,Jamshedpur APMC,Jalandhar,Punjab,,,
2026-01-01,MANDI009,Maize,131.6,36.0,1.0,3.66,1788.2,2101.34,1944.77,2090.0,1.0,Jamshedpur APMC,Jalandhar,Punjab,-145.23,-6.95,1.0
2026-01-01,MANDI009,Sugarcane,167.81,122.0,1.0,1.38,,,,,,Jamshedpur APMC,Jalandhar,Punjab,,,
2026-01-01,MANDI010,Cotton,0.0,7.0,1.0,0.0,,,,,,Dhule APMC,Jalandhar,Punjab,,,
2026-01-01,MANDI010,Sugarcane,287.86,121.0,1.0,2.38,,,,,,Dhule APMC,Jalandhar,Punjab,,,
2026-01-01,MANDI011,Mustard,0.0,71.0,1.0,0.0,,,,,,Arrah Mandi,Patiala,Punjab,,,
2026-01-01,MANDI012,Maize,,,,,2079.0,2556.57,2317.85,2090.0,1.0,Gaya Grain Market,Patiala,Punjab,227.85,10.9,0.0
2026-01-01,MANDI013,Maize,128.72,25.0,1.0,5.15,,,,,,Aurangabad Market,Patiala,Punjab,,,
2026-01-01,MANDI013,Mustard,,,,,4929.0,5885.86,,5650.0,1.0,Aurangabad Market,Patiala,Punjab,,,
2026-01-01,MANDI013,Rice,,,,,2143.43,2647.41,2395.42,2183.0,1.0,Aurangabad Market,Patiala,Punjab,212.42,9.73,0.0
2026-01-01,MANDI013,Sugarcane,444.49,149.0,1.0,2.98,,,,,,Aurangabad Market,Patiala,Punjab,,,
2026-01-01,MANDI014,Cotton,,,,,5814.74,6282.51,6048.62,6620.0,1.0,Bathinda Grain Market,Patiala,Punjab,-571.38,-8.63,1.0
2026-01-01,MANDI014,Rice,,,,,2215.53,2460.0,2337.57,2183.0,1.0,Bathinda Grain Market,Patiala,Punjab,154.57,7.08,0.0
2026-01-01,MANDI015,Mustard,,,,,5614.52,6434.0,6024.4,5650.0,2.0,Amravati Grain Market,Bathinda,Punjab,374.4,6.63,0.0
2026-01-01,MANDI015,Rice,106.63,27.0,1.0,3.95,,,,,,Amravati Grain Market,Bathinda,Punjab,,,
2026-01-01,MANDI015,Wheat,,,,,2295.14,2821.13,2558.0,2275.0,1.0,Amravati Grain Market,Bathinda,Punjab,283.0,12.44,0.0
2026-01-01,MANDI016,Mustard,200.94,11.0,1.0,18.27,,,,,,Kulti APMC,Bathinda,Punjab,,,
2026-01-01,MANDI017,Mustard,441.74,108.0,1.0,4.09,5912.47,6254.71,6083.59,5650.0,1.0,Parbhani Market,Unknown,Punjab,433.59,7.67,0.0
2026-01-01,MANDI017,Rice,,,,,2238.0,2355.22,2296.84,2183.0,1.0,Parbhani Market,Unknown,Punjab,113.84,5.21,0.0
2026-01-01,MANDI018,Cotton,551.95,107.0,2.0,5.16,,,,,,Jaunpur Mandi,Moga,Punjab,,,
2026-01-01,MANDI018,Maize,14.29,96.0,1.0,0.15,,,,,,Jaunpur Mandi,Moga,Punjab,,,
2026-01-01,MANDI018,Sugarcane,266.61,149.0,1.0,1.79,,,,,,Jaunpur Mandi,Moga,Punjab,,,
2026-01-01,MANDI018,Wheat,312.54,69.0,1.0,4.53,,,,,,Jaunpur Mandi,Moga,Punjab,,,
2026-01-01,MANDI020,Mustard,,,,,4923.81,5259.33,5092.0,5650.0,1.0,Kadapa Mandi,Ferozepur,Punjab,-558.0,-9.88,1.0
2026-01-01,MANDI020,Rice,381.9,48.0,1.0,7.96,,,,,,Kadapa Mandi,Ferozepur,Punjab,,,
2026-01-01,MANDI020,Wheat,,,,,1977.77,2147.83,2063.0,2275.0,1.0,Kadapa Mandi,Ferozepur,Punjab,-212.0,-9.32,1.0
2026-01-01,MANDI021,Mustard,193.63,30.0,1.0,6.45,5352.48,5804.0,5578.0,5650.0,1.0,Guna Mandi,Ferozepur,Punjab,-72.0,-1.27,1.0
2026-01-01,MANDI022,Mustard,314.23,56.0,1.0,5.61,,,,,,Eluru APMC,Karnal,Haryana,,,
