record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,mandi_name,state,price_gap,price_gap_percent,below_msp,severity,severity_note
PR001777,2026-01-01,MANDI001,Ludhiana,Cotton,6314.0,7889.0,,6620.0,Hyderabad Mandi,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008393,2026-01-01,MANDI003,Ludhiana,Rice,,2495.95,2248.0,,Vijayawada Mandi,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003298,2026-01-01,MANDI004,Ludhiana,Cotton,6673.83,7825.48,7249.66,6620.0,Khandwa Grain Market,Punjab,629.66,9.51,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005835,2026-01-01,MANDI004,Ludhiana,Wheat,1997.69,,2063.64,2275.0,Khandwa Grain Market,Punjab,-211.36,-9.29,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002672,2026-01-01,MANDI005,Amritsar,Cotton,6102.2,6418.63,,6620.0,Bhilwara Grain Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007615,2026-01-01,MANDI008,Amritsar,Mustard,5579.6716474515,6616.0,6097.65,5650.0,Bijapur Market,Punjab,447.65,7.92,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008833,2026-01-01,MANDI009,Jalandhar,Maize,1788.2,2101.3358393054,1944.77,2090.0,Jamshedpur APMC,Punjab,-145.23,-6.95,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006818,2026-01-01,MANDI012,Patiala,Maize,2079.0,2556.57,2317.8546037502,2090.0,Gaya Grain Market,Punjab,227.85,10.9,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006505,2026-01-01,MANDI013,Patiala,Mustard,4929.0,5885.86,,5650.0,Aurangabad Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005081,2026-01-01,MANDI013,Patiala,Rice,2143.43,2647.41,2395.42,2183.0,Aurangabad Market,Punjab,212.42,9.73,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR000471,2026-01-01,MANDI014,Patiala,Cotton,5814.74,6282.51,6048.62,6620.0,Bathinda Grain Market,Punjab,-571.38,-8.63,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR011754,2026-01-01,MANDI014,Patiala,Rice,2215.53,2460.0,2337.57,2183.0,Bathinda Grain Market,Punjab,154.57,7.08,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR011594,2026-01-01,MANDI015,Bathinda,Mustard,5808.0,6520.0,6163.7977985964,,Amravati Grain Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005646,2026-01-01,MANDI015,Bathinda,Mustard,5421.05,6348.0,5885.0,5650.0,Amravati Grain Market,Punjab,235.0,4.16,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008364,2026-01-01,MANDI015,Bathinda,Wheat,2295.1400732412,2821.13,2558.0,2275.0,Amravati Grain Market,Punjab,283.0,12.44,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005938,2026-01-01,MANDI017,Unknown,Mustard,5912.47,6254.7129134373,6083.59,5650.0,Parbhani Market,Punjab,433.59,7.67,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006182,2026-01-01,MANDI017,Unknown,Rice,2238.0,2355.22,2296.84,2183.0,Parbhani Market,Punjab,113.84,5.21,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004113,2026-01-01,MANDI020,Ferozepur,Mustard,4923.81,5259.33,5092.0,5650.0,Kadapa Mandi,Punjab,-558.0,-9.88,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR000836,2026-01-01,MANDI020,Ferozepur,Wheat,1977.77,2147.83,2063.0,2275.0,Kadapa Mandi,Punjab,-212.0,-9.32,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR011908,2026-01-01,MANDI021,Ferozepur,Mustard,5352.48,5804.0,5578.0,5650.0,Guna Mandi,Punjab,-72.0,-1.27,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005833,2026-01-01,MANDI023,Karnal,Mustard,4807.96,5908.4,5358.18,5650.0,Panihati APMC,Haryana,-291.82,-5.16,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003404,2026-01-01,MANDI025,Karnal,Rice,2181.78,2649.0,2415.5947738452,2183.0,Dindigul APMC,Haryana,232.59,10.65,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007967,2026-01-01,MANDI030,Sirsa,Maize,1896.0,2313.11,2104.706900662,2090.0,Patiala APMC,Haryana,14.71,0.7,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004583,2026-01-01,MANDI031,Sirsa,Cotton,5820.0,6907.0,6363.5909577358,6620.0,Nangloi Jat Mandi,Haryana,-256.41,-3.87,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001282,2026-01-01,MANDI033,Ambala,Rice,2231.27,2400.56,2316.0,2183.0,South Dumdum Grain Market,Haryana,133.0,6.09,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006473,2026-01-01,MANDI033,Ambala,Rice,2237.53,2634.0,2436.0,2183.0,South Dumdum Grain Market,Haryana,253.0,11.59,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004304,2026-01-01,MANDI034,Ambala,Mustard,5923.0,6789.25,6356.0,5650.0,Ludhiana Grain Market,Haryana,706.0,12.5,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006952,2026-01-01,MANDI036,Kurukshetra,Rice,1988.0,2108.27,2048.06,2183.0,Mysore Grain Market,Haryana,-134.94,-6.18,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010696,2026-01-01,MANDI038,Kurukshetra,Sugarcane,2998.81,3673.71,3336.2578160639,3500.0,Jalandhar Mandi,Haryana,-163.74,-4.68,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010537,2026-01-01,MANDI039,Unknown,Maize,2118.79,2579.0,2348.7,2090.0,Anand Grain Market,Haryana,258.7,12.38,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005285,2026-01-01,MANDI041,Fatehabad,Mustard,5270.0,6228.2777477485,5749.0,5650.0,Gurgaon Grain Market,Haryana,99.0,1.75,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009916,2026-01-01,MANDI042,Fatehabad,Sugarcane,3442.79,4171.68,3807.24,3500.0,Erode Mandi,Haryana,307.24,8.78,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
