date,district,rainfall_mm,temperature_celsius,humidity_percent,arrival_quantity_qtl,arrival_records
2026-01-01,Agra,15.7,30.39,56.0,1268.99,4
2026-01-01,Ambala,32.51,24.34,59.5,795.3,3
2026-01-01,Amritsar,31.11,30.28,57.83,1381.58,6
2026-01-01,Bareilly,9.34,27.6,76.0,384.49,3
2026-01-01,Bathinda,10.42,24.66,81.0,307.57,2
2026-01-01,Ferozepur,28.16,25.83,66.0,575.53,2
2026-01-01,Hisar,42.05,29.31,47.0,1472.15,6
2026-01-01,Jalandhar,36.5,28.37,64.33,731.24,5
2026-01-01,Karnal,17.03,35.03,59.0,1001.14,4
2026-01-01,Kurukshetra,26.81,24.12,60.0,1614.47,5
2026-01-01,Ludhiana,18.76,29.03,63.5,1206.81,5
2026-01-01,Meerut,29.41,33.17,71.0,896.73,4
2026-01-01,Moga,2.0,31.66,73.0,1145.39,5
2026-01-01,Muzaffarnagar,20.93,22.42,64.25,1612.45,9
2026-01-01,Patiala,13.46,32.33,,573.21,3
2026-01-01,Saharanpur,27.07,29.73,49.33,1719.54,7
2026-01-01,Sirsa,21.3,26.53,53.25,911.53,3
2026-01-01,Unknown,46.99,19.61,83.0,2552.77,9
2026-01-02,Agra,24.2,30.78,54.2,825.4,2
2026-01-02,Ambala,15.62,29.44,67.5,654.89,3
2026-01-02,Amritsar,33.79,26.5,71.0,1364.43,5
2026-01-02,Bareilly,25.18,26.98,64.8,679.99,3
2026-01-02,Bathinda,23.12,23.05,92.0,524.53,4
2026-01-02,Fatehabad,23.7,27.66,66.25,1046.65,5
2026-01-02,Ferozepur,25.91,30.3,66.0,1371.87,5
2026-01-02,Hisar,18.54,25.5,38.5,956.07,4
2026-01-02,Jalandhar,20.08,30.53,51.0,564.62,2
2026-01-02,Karnal,40.25,26.26,61.86,2016.38,7
2026-01-02,Kurukshetra,26.45,27.02,85.75,1884.99,7
2026-01-02,Ludhiana,28.84,31.05,70.0,2537.29,9
2026-01-02,Moga,28.3,27.05,79.5,441.51,1
2026-01-02,Muzaffarnagar,11.7,31.3,39.0,598.81,4
2026-01-02,Patiala,29.31,25.3,67.5,1100.24,5
2026-01-02,Saharanpur,28.62,18.91,67.5,2329.85,9
2026-01-02,Unknown,22.1,23.11,73.0,2754.88,10
2026-01-03,Ambala,4.5,31.6,81.5,349.17,2
2026-01-03,Amritsar,28.5,25.85,66.0,1866.69,8
2026-01-03,Bareilly,2.75,22.5,46.0,1224.79,7
2026-01-03,Bathinda,15.99,22.58,44.0,1749.37,7
2026-01-03,Fatehabad,43.4,21.25,75.5,1048.45,6
2026-01-03,Ferozepur,18.9,25.43,69.5,520.54,5
2026-01-03,Hisar,27.65,23.83,53.33,285.13,2
2026-01-03,Jalandhar,23.47,25.86,57.8,1434.25,5
2026-01-03,Karnal,28.65,25.54,65.57,2193.38,9
