arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,unit_standardized,arrival_quantity_qtl
ARR0012424,2026-04-06,MANDI026,Wheat,Hybrid,44.841,T,128.0,t,448.41
ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,Qtl,33.0,qtl,332.54
ARR0022724,2026-08-16,MANDI056,Wheat,HD-2967,415.88 qtl,,,qtl,415.88
ARR0012573,2026-06-24,MANDI019,Maize,,-107.13,KG,112.0,kg,
ARR0012098,2026-08-09,MANDI050,Maize,Premium,-331.59,Qtl,,qtl,
ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,Q,105.0,q,119.93
ARR0010753,2026-07-10,MANDI054,Cotton,HD-2967,187.68,qtl,45.0,qtl,187.68
ARR0022123,2026-07-15,MANDI045,Mustard,Hybrid,393.67 qtl,,24.0,qtl,393.67
ARR0003275,2026-08-04,MANDI029,Mustard,PBW-343,14.84,Quintals,129.0,quintals,14.84
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0,qtl,93.28
ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,3.8369999999999997,tonnes,80.0,tonnes,38.37
ARR0019527,2026-08-02,MANDI042,Maize,HD-2967,17077.0,kg,26.0,kg,170.77
ARR0009636,2026-03-31,MANDI056,Maize,HD-2967,37.3,quintal,,quintal,37.3
ARR0010366,2026-01-16,MANDI011,Sugarcane,Pusa-1121,44.83,Q,65.0,q,44.83
ARR0005837,2026-06-27,MANDI025,Wheat,,45.474000000000004,tonnes,,tonnes,454.74
ARR0002387,2026-01-18,MANDI050,Sugarcane,HD-2967,1518.0,KGS,,kgs,15.18
ARR0024112,2026-08-09,MANDI006,Mustard,,34.63,quintal,102.0,quintal,34.63
ARR0010546,2026-01-09,MANDI039,Wheat,,41.577,MT,139.0,mt,415.77
ARR0002154,2026-03-20,MANDI001,Rice,HD-2967,39646.0,kg,61.0,kg,396.46000000000004
ARR0020380,2026-03-06,MANDI028,Mustard,Pusa-1121,99.87,Quintals,,quintals,99.87
ARR0021641,2026-08-15,MANDI045,Mustard,HD-2967,39119.0,KGS,41.0,kgs,391.19
ARR0004098,2026-03-25,MANDI027,Cotton,Pusa-1121,111.01,Qtl,137.0,qtl,111.01
,2026-06-18,MANDI026,Maize,Pusa-1121,264.38,Qtl,96.0,qtl,264.38
ARR0006088,2026-08-12,MANDI019,Sugarcane,HD-2967,373.93,Quintals,121.0,quintals,373.93
