mandi_id,mandi_name,district,state,mandi_type,total_area_acres
MANDI001,Hyderabad Mandi,Ludhiana,Punjab,Private,11.0
MANDI006,Kochi Mandi,Amritsar,Punjab,Direct,34.0
MANDI037,Jorhat Grain Market,Kurukshetra,Haryana,APMC,
MANDI046,Baranagar Market,Unknown,Uttar Pradesh,Private,13.0
MANDI014,Bathinda Grain Market,Patiala,Punjab,Private,25.0
MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC,12.0
MANDI034,Ludhiana Grain Market,Ambala,Haryana,Unknown,11.0
MANDI049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private,39.0
MANDI013,Aurangabad Market,Patiala,Punjab,Private,25.0
MANDI047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,
MANDI051,Gulbarga Market,Saharanpur,Uttar Pradesh,Private,11.0
MANDI032,Chapra Grain Market,Unknown,Haryana,Private,20.0
MANDI004,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0
MANDI053,Panihati Market,Saharanpur,Uttar Pradesh,APMC,
MANDI018,Jaunpur Mandi,Moga,Punjab,Unknown,9.0
MANDI009,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0
MANDI007,Nashik Mandi,Amritsar,Punjab,Private,45.0
MANDI041,Gurgaon Grain Market,Fatehabad,Haryana,APMC,39.0
MANDI005,Bhilwara Grain Market,Amritsar,Punjab,Direct,29.0
MANDI044,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0
MANDI020,Kadapa Mandi,Ferozepur,Punjab,Direct,26.0
MANDI035,Guntakal Mandi,Ambala,Haryana,APMC,17.0
MANDI026,Tadipatri Mandi,Hisar,Haryana,Private,35.0
MANDI057,Gorakhpur APMC,Bareilly,Uttar Pradesh,Direct,7.0
MANDI016,Kulti APMC,Bathinda,Punjab,Unknown,42.0
MANDI028,Machilipatnam APMC,Hisar,Haryana,Unknown,33.0
MANDI010,Dhule APMC,Jalandhar,Punjab,Direct,48.0
MANDI031,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0
MANDI027,Kochi APMC,Hisar,Haryana,APMC,39.0
MANDI017,Parbhani Market,Unknown,Punjab,Private,8.0
MANDI025,Dindigul APMC,Karnal,Haryana,APMC,
MANDI056,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private,28.0
MANDI012,Gaya Grain Market,Patiala,Punjab,Unknown,48.0
MANDI033,South Dumdum Grain Market,Ambala,Haryana,APMC,31.0
MANDI054,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh,Direct,45.0
MANDI042,Erode Mandi,Fatehabad,Haryana,Private,38.0
MANDI038,Jalandhar Mandi,Kurukshetra,Haryana,Private,36.0
MANDI030,Patiala APMC,Sirsa,Haryana,Unknown,19.0
MANDI045,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private,25.0
MANDI002,Solapur Mandi,Ludhiana,Punjab,APMC,37.0
MANDI022,Eluru APMC,Karnal,Haryana,Unknown,45.0
MANDI003,Vijayawada Mandi,Ludhiana,Punjab,Unknown,19.0
MANDI048,Chittoor Mandi,Muzaffarnagar,Uttar Pradesh,Direct,27.0
MANDI040,Jodhpur Market,Fatehabad,Haryana,Direct,40.0
MANDI036,Mysore Grain Market,Kurukshetra,Haryana,APMC,9.0
MANDI024,Jaipur Mandi,Karnal,Haryana,APMC,24.0
MANDI050,Durg Market,Muzaffarnagar,Uttar Pradesh,Unknown,47.0
MANDI011,Arrah Mandi,Patiala,Punjab,Unknown,34.0
MANDI023,Panihati APMC,Karnal,Haryana,Private,38.0
MANDI019,Karimnagar Grain Market,Moga,Punjab,Private,40.0
MANDI021,Guna Mandi,Ferozepur,Punjab,APMC,21.0
MANDI008,Bijapur Market,Amritsar,Punjab,APMC,23.0
MANDI043,Danapur Mandi,Agra,Uttar Pradesh,Private,
MANDI015,Amravati Grain Market,Bathinda,Punjab,APMC,13.0
MANDI029,Asansol Grain Market,Sirsa,Haryana,Direct,
MANDI052,Kakinada APMC,Saharanpur,Uttar Pradesh,Unknown,48.0
MANDI039,Anand Grain Market,Unknown,Haryana,APMC,5.0
