sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,district,timestamp_ist,temperature_celsius,rain_unit_clean,rainfall_mm
SEN047,28/08/2026,68,f,43.8,mm,46.0,Kurukshetra,2026-08-28 00:00:00,20.0,mm,43.8
SEN034,2026-07-03 07:08:18 IST,85.3,°F,1.88,in,55.0,Patiala,2026-07-03 07:08:18,29.61,in,47.751999999999995
SEN020,,18.9,Celsius,19.9,MM,,Ambala,,18.9,mm,19.9
SEN035,2026-07-09 11:08:41 UTC,71.8,Fahrenheit,0.91,inch,49.0,Saharanpur,2026-07-09 16:38:41,22.11,in,23.114
SEN048,2026-06-09 13:06:26 IST,39.8°C,,43.9,mm,81.0,Ludhiana,2026-06-09 13:06:26,39.8,mm,43.9
SEN035,17/03/2026,21.8°C,,28.9,MM,47.0,Saharanpur,2026-03-17 00:00:00,21.8,mm,28.9
SEN013,07-01-2026 05:48 PM,75,f,32.4,mm,43.0,Meerut,2026-07-01 17:48:00,23.89,mm,32.4
SEN040,2026-06-12 09:52:51 IST,92.5,°F,,,92.0,Bareilly,2026-06-12 09:52:51,33.61,,
SEN027,2026-06-02 16:00:04 UTC,22.1,°C,-48.1,mm,36.0,Jalandhar,2026-06-02 21:30:04,22.1,mm,
SEN034,,30.3°C,,,,51.0,Patiala,,30.3,,
SEN031,2026-08-23 07:42:11 IST,16.6,c,32.4,MM,38.0,Meerut,2026-08-23 07:42:11,16.6,mm,32.4
SEN045,2026-09-08 14:45:54 UTC,102.2,F,42.1,millimeters,41.0,Jalandhar,2026-09-08 20:15:54,39.0,mm,42.1
SEN011,2026-03-25 23:52:33 UTC,29.9,C,16.2,millimeters,32.0,Kurukshetra,2026-03-26 05:22:33,29.9,mm,16.2
SEN004,08-27-2026 04:59 PM,66.9,f,42.3,mm,35.0,Bareilly,2026-08-27 16:59:00,19.39,mm,42.3
SEN020,2026-02-02 07:59:44 IST,73.2,F,16.0,millimeters,,Ambala,2026-02-02 07:59:44,22.89,mm,16.0
SEN026,2026-03-21 12:06:58 UTC,102.4,Fahrenheit,13.7,millimeters,80.0,Hisar,2026-03-21 17:36:58,39.11,mm,13.7
SEN020,2026-09-07 16:45:42 IST,67.6,f,-42.0,mm,39.0,Ambala,2026-09-07 16:45:42,19.78,mm,
SEN047,2026-04-09 17:24:04 UTC,29.8,°C,45.0,MM,53.0,Kurukshetra,2026-04-09 22:54:04,29.8,mm,45.0
SEN035,2026-08-30 05:45:31 IST,31.8°C,,-7.3,mm,52.0,Saharanpur,2026-08-30 05:45:31,31.8,mm,
UNKNOWN,2026-07-28T05:02:48,29.1,Celsius,34.3,millimeters,75.0,Unknown,2026-07-28 05:02:48,29.1,mm,34.3
SEN032,2026-02-07 08:54:43 UTC,31.3,Celsius,6.2,mm,38.0,Moga,2026-02-07 14:24:43,31.3,mm,6.2
SEN046,2026-02-22 21:45:12 IST,30,Celsius,1.6,mm,86.0,Karnal,2026-02-22 21:45:12,30.0,mm,1.6
SEN021,2026-03-10T23:45:39,24.6°C,,-15.9,mm,80.0,Amritsar,2026-03-10 23:45:39,24.6,mm,
SEN042,2026-04-02 05:04:58 IST,97.9,f,0.23,inches,63.0,Fatehabad,2026-04-02 05:04:58,36.61,in,5.842
SEN042,,60.3,F,,,89.0,Fatehabad,,15.72,,
SEN043,2026-03-01 15:38:44 UTC,37.8,C,,,44.0,Ferozepur,2026-03-01 21:08:44,37.8,,
SEN042,2026-07-07 09:27:47 IST,33.4,C,0.78,in,38.0,Fatehabad,2026-07-07 09:27:47,33.4,in,19.812
SEN013,2026-05-23 18:27:41 IST,28.3,°C,12.4,MM,56.0,Meerut,2026-05-23 18:27:41,28.3,mm,12.4
SEN021,2026-02-25 19:23:43 UTC,28.4°C,,32.5,MM,78.0,Amritsar,2026-02-26 00:53:43,28.4,mm,32.5
SEN049,2026-04-24 18:47:44 IST,33.6,°C,7.2,millimeters,80.0,Meerut,2026-04-24 18:47:44,33.6,mm,7.2
SEN006,2026-01-02 09:31:50 IST,21.7,°C,7.2,millimeters,82.0,Fatehabad,2026-01-02 09:31:50,21.7,mm,7.2
SEN041,,82.8,°F,-26.3,mm,33.0,Bathinda,,28.22,mm,
SEN035,2026-05-05 03:28:20 UTC,37.6°C,,28.4,mm,48.0,Saharanpur,2026-05-05 08:58:20,37.6,mm,28.4
SEN050,2026-02-09 18:25:06 IST,68.9,F,21.5,millimeters,40.0,Moga,2026-02-09 18:25:06,20.5,mm,21.5
SEN002,2026-07-06 04:29:39 UTC,95.2,Fahrenheit,-40.2,mm,73.0,Ambala,2026-07-06 09:59:39,35.11,mm,
SEN007,2026-08-19 21:08:23 UTC,23.1,C,1.84,in,62.0,Ferozepur,2026-08-20 02:38:23,23.1,in,46.736
SEN005,,91.4,f,1.58,inch,80.0,Bathinda,,33.0,in,40.132
SEN029,2026-05-13 03:32:20 UTC,82.4,f,0.67,inch,94.0,Kurukshetra,2026-05-13 09:02:20,28.0,in,17.018
SEN022,2026-06-07 21:06:11 UTC,70.5,°F,0.57,inch,60.0,Bareilly,2026-06-08 02:36:11,21.39,in,14.477999999999998
SEN015,2026-02-21 12:03:50,78.4,f,14.9,mm,87.0,Muzaffarnagar,2026-02-21 12:03:50,25.78,mm,14.9
SEN012,2026-03-15 07:21:07 UTC,59.9,f,1.28,in,94.0,Ludhiana,2026-03-15 12:51:07,15.5,in,32.512
SEN029,2026-01-31 20:48:03 IST,71.4,F,,,69.0,Kurukshetra,2026-01-31 20:48:03,21.89,,
SEN043,2026-08-23 15:21:41 IST,33.6,C,27.4,millimeters,76.0,Ferozepur,2026-08-23 15:21:41,33.6,mm,27.4
SEN023,2026-04-13 16:20:56 UTC,18.4,°C,1.7,inch,50.0,Bathinda,2026-04-13 21:50:56,18.4,in,43.18
SEN038,,23.7,c,45.5,mm,92.0,Ambala,,23.7,mm,45.5
SEN010,,72.5,°F,11.4,MM,80.0,Karnal,,22.5,mm,11.4
UNKNOWN,2026-04-05 13:30:02 UTC,30.9,Celsius,1.01,in,,Unknown,2026-04-05 19:00:02,30.9,in,25.654
SEN003,01/06/2026 20:19,79.9,f,29.4,millimeters,47.0,Amritsar,2026-06-01 20:19:00,26.61,mm,29.4
SEN046,2026-05-19 06:18:45 UTC,29.3,C,-15.0,mm,36.0,Karnal,2026-05-19 11:48:45,29.3,mm,
SEN016,,26.7,c,5.2,millimeters,89.0,Patiala,,26.7,mm,5.2
SEN034,2026-04-13 08:56:28 IST,39.9,Celsius,1.08,inches,59.0,Patiala,2026-04-13 08:56:28,39.9,in,27.432
SEN002,,22.7,c,1.92,inches,57.0,Ambala,,22.7,in,48.767999999999994
SEN017,2026-05-30 14:33:23 UTC,19.6,c,-2.7,mm,77.0,Saharanpur,2026-05-30 20:03:23,19.6,mm,
UNKNOWN,2026-08-09 02:39:44 UTC,74.1,F,10.6,millimeters,52.0,Unknown,2026-08-09 08:09:44,23.39,mm,10.6
UNKNOWN,2026-01-16T04:29:54,23.1,Celsius,0.99,inches,59.0,Unknown,2026-01-16 04:29:54,23.1,in,25.145999999999997
SEN043,12-Aug-2026 16:58:44,101.7,f,0.07,inches,44.0,Ferozepur,2026-08-12 16:58:44,38.72,in,1.778
SEN035,2026-06-25 06:49:35 IST,38.6,C,3.7,MM,32.0,Saharanpur,2026-06-25 06:49:35,38.6,mm,3.7
SEN047,2026-08-18 07:10:40 IST,21.5,Celsius,19.2,millimeters,84.0,Kurukshetra,2026-08-18 07:10:40,21.5,mm,19.2
SEN004,,38.6°C,,4.3,millimeters,85.0,Bareilly,,38.6,mm,4.3
SEN041,2026-06-19 03:04:08 IST,35.6°C,,1.7,inches,37.0,Bathinda,2026-06-19 03:04:08,35.6,in,43.18
SEN020,2026-05-14 19:32:31 UTC,31.2°C,,1.3,inches,94.0,Ambala,2026-05-15 01:02:31,31.2,in,33.019999999999996
SEN030,2026-05-22 10:10:01 UTC,19.8,c,-19.7,mm,72.0,Ludhiana,2026-05-22 15:40:01,19.8,mm,
SEN023,2026-01-13 11:34:32 UTC,35.8,C,28.0,MM,58.0,Bathinda,2026-01-13 17:04:32,35.8,mm,28.0
SEN009,2026-07-15 22:03:55 UTC,24.8,C,0.8,millimeters,81.0,Jalandhar,2026-07-16 03:33:55,24.8,mm,0.8
SEN044,,63.1,f,16.4,MM,82.0,Hisar,,17.28,mm,16.4
SEN041,07-30-2026 10:15 AM,84.9,°F,1.96,in,91.0,Bathinda,2026-07-30 10:15:00,29.39,in,49.784
SEN027,2026-05-27 08:13:39 UTC,23.0°C,,17.8,MM,55.0,Jalandhar,2026-05-27 13:43:39,23.0,mm,17.8
SEN040,05/01/2026 03:10,28,°C,0.72,in,72.0,Bareilly,2026-01-05 03:10:00,28.0,in,18.287999999999997
UNKNOWN,,77,f,0.5,MM,82.0,Unknown,,25.0,mm,0.5
SEN002,2026-02-23 20:07:57 IST,30.5,C,7.2,MM,59.0,Ambala,2026-02-23 20:07:57,30.5,mm,7.2
SEN015,2026-05-08 23:46:42 UTC,88.3,F,0.61,in,80.0,Muzaffarnagar,2026-05-09 05:16:42,31.28,in,15.493999999999998
SEN001,,22.4°C,,16.5,mm,94.0,Agra,,22.4,mm,16.5
SEN007,08/03/2026,21.9,Celsius,-2.4,mm,90.0,Ferozepur,2026-03-08 00:00:00,21.9,mm,
SEN023,2026-03-04 12:02:44 IST,89.6,°F,36.5,MM,49.0,Bathinda,2026-03-04 12:02:44,32.0,mm,36.5
SEN001,2026-02-07 17:29:24 IST,99.7,Fahrenheit,25.6,mm,75.0,Agra,2026-02-07 17:29:24,37.61,mm,25.6
SEN031,,24.1,Celsius,20.7,mm,90.0,Meerut,,24.1,mm,20.7
SEN004,,86,f,,,63.0,Bareilly,,30.0,,
SEN028,2026-06-11 12:01:26 IST,101.7,°F,1.54,inches,58.0,Karnal,2026-06-11 12:01:26,38.72,in,39.116
UNKNOWN,2026-03-25 12:03:29 IST,26.7°C,,0.6,MM,67.0,Unknown,2026-03-25 12:03:29,26.7,mm,0.6
