arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count
ARR0012424,06-04-2026,MANDI026,गेहूं,Hybrid,44.841,T,128
ARR0008271,2026-06-02,MANDI014,Gehun,HD-2967,332.54,Qtl,33
ARR0022724,08-16-2026,056,Kanak,HD-2967,415.88 qtl,,NA
ARR0012573,06-24-2026,MANDI019,Maize,,-107.13,KG,112
ARR0012098,09.08.2026,mandi050,Corn,Premium,-331.59,Qtl,NA
ARR0013701,2026-03-31,mandi_049,Ganne,Local,119.93,Q,105
ARR0010753,10/07/2026,MANDI-054,Kapas,HD-2967,187.68,qtl,45
ARR0022123,15/07/2026,MANDI045,Sarso,Hybrid,393.67 qtl,,24
ARR0003275,04-08-2026,mandi029,Sarson,PBW-343,14.84,Quintals,129
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109
ARR0016719,2026-05-25,mandi_044,Maize,PBW-343,3.8369999999999997,tonnes,80
ARR0019527,02/08/2026,MANDI042,corn,HD-2967,17077.0,kg,26
ARR0009636,31/03/2026,MANDI-056,corn,HD-2967,37.3,quintal,NA
ARR0010366,16/01/2026,MANDI011,Ganne,Pusa-1121,44.83,Q,65
ARR0005837,27.06.2026,025,GEHUN,,45.474000000000004,tonnes,NA
ARR0002387,18.01.2026,MANDI050,Ganne,HD-2967,1518.0,KGS,NA
ARR0024112,2026-08-09,MANDI006,सरसों,,34.63,quintal,102
ARR0010546,2026/01/09,MANDI039,Kanak,,41.577,MT,139
ARR0002154,03-20-2026,MANDI-001,Basmati,HD-2967,39646.0,kg,61
ARR0020380,06-03-2026,MANDI028,mustard,Pusa-1121,99.87,Quintals,NA
ARR0021641,15-Aug-2026,mandi_045,Sarso,HD-2967,39119.0,KGS,41
ARR0004098,25-Mar-2026,MANDI-027,cotton,Pusa-1121,111.01,Qtl,137
,18.06.2026,MANDI026,मक्का,Pusa-1121,264.38,Qtl,96
ARR0006088,12-Aug-2026,MANDI019,Ganne,HD-2967,373.93,Quintals,121
ARR0021143,30.04.2026,MANDI024,सरसों,Premium,7048.999999999999,Kgs,7
ARR0019959,21/08/2026,MANDI022,Makka,PBW-343,38.343,Tonnes,85
ARR0001442,2026/05/31,MANDI044,paddy,Local,113.89,Qtl,97
ARR0004480,08.04.2026,M045,Wheat,Local,15910.0,kg,102
ARR0021197,28-Aug-2026,021,sugarcane,Hybrid,197.48,qtl,NA
ARR0020628,12-Jun-2026,MANDI-012,sugarcane,PBW-343,35053.0,Kilo,71
ARR0001665,30.07.2026,MANDI055,Chawal,Local,406.67,Quintals,NA
ARR0002938,04-Jul-2026,mandi_016,GEHUN,,162.36,qtl,114
ARR0019350,25/03/2026,mandi_001,गेहूं,Premium,19.073,MT,NA
ARR0020205,2026-07-05,MANDI037,Makka,Hybrid,7347.0,Kgs,17
ARR0015292,2026/07/15,MANDI037,wheat,PBW-343,"36,654.0 KG",,53
ARR0019616,10/04/2026,MANDI008,Corn,Hybrid,82.61,qtl,NA
ARR0022884,12.05.2026,MANDI047,मक्का,,194.32,Quintals,33
ARR0003230,2026-04-03,M051,सरसों,PBW-343,38.055,MT,6
ARR0003266,24-Apr-2026,MANDI-023,Ganna,,97.11,qtl,17
ARR0023966,2026-03-03,MANDI017,Sarso,PBW-343,15999.0,Kilo,125
ARR0017190,01/08/2026,mandi_002,cotton,PBW-343,"22,697.0 KG",,73
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KGS,54
ARR0013641,18/03/2026,MANDI-018,Sarso,Premium,342.39,Qtl,143
ARR0019876,2026/07/12,MANDI054,Basmati,,32227.0,Kgs,127
ARR0018787,08-08-2026,mandi_044,paddy,Pusa-1121,336.73 qtl,,69
ARR0020778,08.03.2026,MANDI024,mustard,HD-2967,12790.0,Kilo,113
ARR0002765,2026-02-28,mandi013,Sarson,Premium,361.74,Q,62
ARR0014145,2026-01-31,MANDI006,Ganna,Pusa-1121,469.92,qtl,18
ARR0023854,06/05/2026,MANDI007,sugarcane,,-177.05,KG,46
ARR0012859,2026/03/20,057,Cotton,PBW-343,34.129000000000005,T,NA
ARR0023766,2026-02-02,mandi_025,धान,HD-2967,17588.0,Kgs,88
ARR0009572,10.05.2026,MANDI-041,Makka,Premium,17.603,T,38
ARR0021131,2026-04-24,MANDI040,corn,Hybrid,309.07 qtl,,146
ARR0022207,2026-03-25,mandi027,Basmati,HD-2967,47236.0,Kgs,11
ARR0005385,2026/08/07,MANDI028,कपास,Hybrid,12.677,tonnes,5
ARR0020517,2026-06-02,MANDI026,Gehun,PBW-343,28.492,Tonnes,99
ARR0015213,27.02.2026,mandi005,Paddy,PBW-343,54.32,qtl,122
,2026/02/04,mandi_031,corn,Local,431.25 qtl,,60
ARR0010273,2026-03-06,mandi021,Sarso,,200.26,Qtl,11
ARR0023476,2026/06/05,MANDI023,Sarson,PBW-343,312.23,Qtl,18
ARR0013815,06-08-2026,MANDI009,Makka,HD-2967,27041.000000000004,Kilo,83
ARR0023287,2026/02/08,MANDI-003,Narma,PBW-343,4.441,MT,127
ARR0016192,2026-07-03,MANDI023,Corn,,455.6,quintal,59
ARR0011823,2026/01/13,MANDI004,Chawal,HD-2967,60.33,qtl,124
ARR0005816,24/01/2026,mandi_039,Sugarcane,PBW-343,158.3,quintal,135
ARR0006030,2026-04-22,mandi033,Cotton,HD-2967,"43,655.0 KG",,128
ARR0010009,2026-03-10,MANDI004,paddy,,29139.999999999996,kg,NA
ARR0022129,2026/02/10,MANDI040,गन्ना,Local,45813.0,KGS,131
ARR0015481,09/06/2026,mandi_028,Corn,Premium,"7,278.0 KG",,68
ARR0020630,16/08/2026,mandi_028,चावल,Local,32583.0,kg,36
ARR0005888,2026/07/03,M049,Corn,,182.46,quintal,NA
ARR0006650,06.09.2026,MANDI043,Rice,Local,18275.0,KG,128
ARR0002363,09/03/2026,MANDI026,corn,Pusa-1121,23947.0,KGS,29
ARR0010446,08-05-2026,mandi_026,Makki,Pusa-1121,17.899,tonnes,21
ARR0009069,05-15-2026,mandi022,Narma,Pusa-1121,5918.0,Kilo,76
ARR0020854,18-Jun-2026,MANDI035,Sugarcane,Pusa-1121,158.72,Q,NA
ARR0023442,2026-05-20,056,Cotton,,25827.999999999996,KGS,73
