date,mandi_id,crop_name,total_arrival_qtl
2026-01-01,MANDI001,Maize,137.82999999999998
2026-01-01,MANDI001,Sugarcane,499.91
2026-01-01,MANDI003,Mustard,46.01
2026-01-01,MANDI004,Sugarcane,428.33
2026-01-01,MANDI005,Rice,112.64
2026-01-01,MANDI006,Maize,198.87
2026-01-01,MANDI007,Cotton,304.66
2026-01-01,MANDI007,Rice,70.14
2026-01-01,MANDI009,Maize,131.6
2026-01-01,MANDI009,Narma,143.97
2026-01-01,MANDI009,Sugarcane,167.81
2026-01-01,MANDI013,Maize,128.72
2026-01-01,MANDI015,Rice,106.63
2026-01-01,MANDI016,Mustard,200.94
2026-01-01,MANDI017,Mustard,441.74
2026-01-01,MANDI018,Cotton,551.95
2026-01-01,MANDI018,Maize,14.29
2026-01-01,MANDI018,Sugarcane,266.61
2026-01-01,MANDI018,Wheat,312.54
2026-01-01,MANDI020,Rice,381.9
2026-01-01,MANDI022,Mustard,314.23
2026-01-01,MANDI023,Maize,324.92
2026-01-01,MANDI023,Mustard,252.81
2026-01-01,MANDI025,Wheat,109.18
2026-01-01,MANDI026,Wheat,327.19
2026-01-01,MANDI027,Cotton,127.73
2026-01-01,MANDI027,Rice,356.18
2026-01-01,MANDI028,Sugarcane,336.75
2026-01-01,MANDI028,Wheat,81.57
2026-01-01,MANDI029,Cotton,335.88
2026-01-01,MANDI030,Cotton,165.48
2026-01-01,MANDI032,Rice,632.69
2026-01-01,MANDI032,Sugarcane,205.0
2026-01-01,MANDI033,Mustard,372.13
2026-01-01,MANDI034,Wheat,389.13
2026-01-01,MANDI035,Narma,34.04
2026-01-01,MANDI036,Wheat,710.84
2026-01-01,MANDI037,Cotton,136.22
2026-01-01,MANDI037,Maize,399.22
2026-01-01,MANDI037,Rice,368.19
2026-01-01,MANDI039,Cotton,35.68
2026-01-01,MANDI039,Wheat,443.13
2026-01-01,MANDI040,Maize,210.23
2026-01-01,MANDI040,Rice,183.34
2026-01-01,MANDI043,Cotton,728.26
2026-01-01,MANDI044,Rice,399.74
2026-01-01,MANDI045,Sugarcane,163.72
2026-01-01,MANDI045,Wheat,733.01
2026-01-01,MANDI046,Maize,363.05
2026-01-01,MANDI046,Wheat,180.44
2026-01-01,MANDI047,Maize,259.3
2026-01-01,MANDI048,Rice,108.2
2026-01-01,MANDI048,Wheat,268.27000000000004
2026-01-01,MANDI049,Rice,124.05
2026-01-01,MANDI050,Cotton,326.77
2026-01-01,MANDI052,Rice,391.11
2026-01-01,MANDI052,Sugarcane,143.49
2026-01-01,MANDI053,Maize,347.38
2026-01-01,MANDI053,Wheat,118.21
2026-01-01,MANDI054,Wheat,180.5
2026-01-01,MANDI055,Narma,66.1
2026-01-01,MANDI057,Cotton,123.37
2026-01-01,MANDI057,Mustard,195.02
2026-01-02,MANDI002,Maize,858.9
2026-01-02,MANDI002,Mustard,632.06
