mandi_id,total_arrival_qtl,mandi_name,state,district,arrival_share_percent
MANDI041,97393.13,Gurgaon Grain Market,Haryana,FATEHABAD,2.02
MANDI001,93723.23,Hyderabad Mandi,Punjab,ludhiana,1.95
MANDI007,93485.66,Nashik Mandi,Punjab,Amritsar,1.94
MANDI048,93141.62,Chittoor Mandi,Uttar Pradesh,muzaffarnagar,1.94
MANDI026,92287.14,Tadipatri Mandi,Haryana,Hisar,1.92
MANDI002,90764.99,Solapur Mandi,,Ludhiana,1.89
MANDI012,90399.54,Gaya Grain Market,Punjab,Patiala,1.88
MANDI050,89346.38,Durg Market,Uttar Pradesh,Muzaffarnagar,1.86
MANDI053,89230.88,Panihati Market,Uttar Pradesh,Saharanpur,1.85
MANDI017,88837.26,Parbhani Market,Punjab,,1.85
MANDI006,88801.3,Kochi Mandi,Punjab,Amritsar,1.85
MANDI033,88495.07,South Dumdum Grain Market,Haryana,AMBALA,1.84
MANDI019,88492.47,Karimnagar Grain Market,Punjab,Moga,1.84
MANDI021,88441.78,Guna Mandi,Punjab,Ferozepur,1.84
MANDI043,88246.17,Danapur Mandi,Uttar Pradesh,Agra,1.83
MANDI039,87782.06,Anand Grain Market,Haryana,,1.82
MANDI024,87232.87,Jaipur Mandi,Haryana,Karnal,1.81
MANDI005,86857.73,Bhilwara Grain Market,Punjab,Amritsar,1.81
MANDI034,86298.38,Ludhiana Grain Market,Haryana,Ambala,1.79
MANDI011,86225.55,Arrah Mandi,Punjab,Patiala,1.79
MANDI056,86001.51,Bilaspur Mandi,Uttar Pradesh,Bareilly,1.79
MANDI022,85527.2,Eluru APMC,Haryana,Karnal,1.78
MANDI035,85379.03,Guntakal Mandi,Haryana,Ambala,1.77
MANDI036,84816.04000000001,Mysore Grain Market,Haryana,KURUKSHETRA,1.76
MANDI013,84777.61,Aurangabad Market,Punjab,Patiala,1.76
MANDI057,84521.26,Gorakhpur APMC,,Bareilly,1.76
MANDI031,84426.02,Nangloi Jat Mandi,Haryana,Sirsa,1.76
MANDI045,84268.16,Farrukhabad Mandi,Uttar Pradesh,Meerut,1.75
MANDI051,83975.33,Gulbarga Market,Uttar Pradesh,Saharanpur,1.75
MANDI029,83713.82,Asansol Grain Market,Haryana,SIRSA,1.74
MANDI009,83662.4,Jamshedpur APMC,Punjab,Jalandhar,1.74
MANDI027,83566.75,Kochi APMC,Haryana,Hisar,1.74
MANDI044,83331.84,Dehri Mandi,Uttar Pradesh,Agra,1.73
MANDI037,83303.8,Jorhat Grain Market,Haryana,Kurukshetra,1.73
MANDI038,83139.01,Jalandhar Mandi,Haryana,Kurukshetra,1.73
MANDI010,83085.35,Dhule APMC,Punjab,Jalandhar,1.73
MANDI008,82901.67,Bijapur Market,Punjab,Amritsar,1.72
MANDI040,82752.89,Jodhpur Market,Haryana,Fatehabad,1.72
MANDI020,82189.91,Kadapa Mandi,Punjab,Ferozepur,1.71
MANDI052,81976.88,Kakinada APMC,Uttar Pradesh,Saharanpur,1.7
MANDI046,81737.96,Baranagar Market,Uttar Pradesh,,1.7
MANDI004,81040.54,Khandwa Grain Market,Punjab,Ludhiana,1.68
MANDI025,80741.81,Dindigul APMC,Haryana,karnal,1.68
MANDI055,80047.44,Chandigarh APMC,Uttar Pradesh,Bareilly,1.66
MANDI018,79977.19,Jaunpur Mandi,Punjab,MOGA,1.66
MANDI003,79944.91,Vijayawada Mandi,Punjab,Ludhiana,1.66
MANDI032,79703.06,Chapra Grain Market,Haryana,,1.66
MANDI016,78717.56,Kulti APMC,Punjab,Bathinda,1.64
MANDI049,78678.81,Machilipatnam Mandi,Uttar Pradesh,Muzaffarnagar,1.64
MANDI047,78619.27,Orai Market,Uttar Pradesh,Muzaffarnagar,1.63
MANDI042,78483.0,Erode Mandi,Haryana,Fatehabad,1.63
MANDI054,78019.5,Nangloi Jat Grain Market,,Saharanpur,1.62
MANDI023,77334.58,Panihati APMC,Haryana,KARNAL,1.61
MANDI030,77101.57,Patiala APMC,,Sirsa,1.6
MANDI015,76488.95,Amravati Grain Market,Punjab,Bathinda,1.59
MANDI028,75660.51,Machilipatnam APMC,Haryana,Hisar,1.57
MANDI014,75373.44,Bathinda Grain Market,Punjab,Patiala,1.57
