date,mandi_id,avg_rainfall_mm,avg_temperature_c,total_arrival_qtl
2026-01-01,MANDI001,15.7,30.38888888888889,637.74
2026-01-01,MANDI003,27.489,28.355555555555558,46.01
2026-01-01,MANDI004,0.4,24.7,428.33
2026-01-01,MANDI009,36.5,34.65555555555556,443.38
2026-01-01,MANDI013,29.458,32.9,128.72
2026-01-01,MANDI015,15.748,24.361111111111114,106.63
2026-01-01,MANDI016,6.095999999999999,28.855555555555558,200.94
2026-01-01,MANDI017,29.7,26.1,441.74
2026-01-01,MANDI018,21.3,28.544444444444448,1145.39
2026-01-01,MANDI020,32.512,31.27777777777778,381.9
2026-01-01,MANDI022,18.288,30.5,314.23
2026-01-01,MANDI023,11.189,19.494444444444447,577.73
2026-01-01,MANDI025,25.444,27.200000000000003,109.18
2026-01-01,MANDI026,41.2,24.222222222222214,327.19
2026-01-01,MANDI027,,15.8,483.91
2026-01-01,MANDI028,34.29,26.77777777777778,418.32
2026-01-01,MANDI029,,20.88888888888889,335.88
2026-01-01,MANDI030,18.762,29.03333333333333,165.48
2026-01-01,MANDI033,22.222,19.2,372.13
2026-01-01,MANDI034,20.828,39.27777777777778,389.13
2026-01-01,MANDI035,25.75,,34.04
2026-01-01,MANDI039,,34.488888888888894,478.81
2026-01-01,MANDI043,33.6,23.1,728.26
2026-01-01,MANDI046,9.1,39.8,543.49
2026-01-01,MANDI047,28.964,27.055555555555557,259.3
2026-01-01,MANDI049,29.3,39.8,124.05
2026-01-01,MANDI050,2.0,27.11111111111111,326.77
2026-01-02,MANDI003,24.9,37.11111111111112,415.78
2026-01-02,MANDI004,34.888,,289.72
2026-01-02,MANDI006,7.2,21.7,309.96
2026-01-02,MANDI008,14.8,15.2,549.96
2026-01-02,MANDI009,22.436666666666667,31.007407407407413,491.5
2026-01-02,MANDI010,47.117,21.733333333333334,377.92
2026-01-02,MANDI013,27.3,,173.18
2026-01-02,MANDI014,37.7,,301.34000000000003
2026-01-02,MANDI015,11.701,31.299999999999997,869.69
2026-01-02,MANDI017,9.652,18.72222222222222,405.37
2026-01-02,MANDI019,12.55,34.7,394.72
2026-01-02,MANDI023,39.9,20.2,497.01
2026-01-02,MANDI025,,25.611111111111107,893.73
2026-01-02,MANDI026,,,183.07
2026-01-02,MANDI027,13.0,,1169.06
2026-01-02,MANDI028,29.972,35.5,733.54
2026-01-02,MANDI029,27.225333333333335,29.0,613.73
2026-01-02,MANDI030,14.9,31.27777777777778,467.94
2026-01-02,MANDI032,41.7,,395.84
2026-01-02,MANDI034,33.712,26.738888888888887,428.35
2026-01-02,MANDI038,25.83,31.549999999999997,51.51
2026-01-02,MANDI039,43.18,21.888888888888893,533.51
2026-01-02,MANDI040,35.81399999999999,30.13888888888889,506.32
2026-01-02,MANDI041,6.35,,908.25
2026-01-02,MANDI042,40.2,33.37407407407407,83.52000000000001
2026-01-02,MANDI043,25.908,35.0,159.19
2026-01-02,MANDI044,18.542,31.8,973.03
2026-01-02,MANDI046,36.8,27.6962962962963,534.3000000000001
2026-01-02,MANDI048,,19.5,421.15
2026-01-02,MANDI050,14.9,37.3,23.65
2026-01-03,MANDI004,3.7,23.0,110.58
2026-01-03,MANDI005,1.27,17.7,457.99
2026-01-03,MANDI006,,,302.59
2026-01-03,MANDI007,,18.5,44.44
2026-01-03,MANDI011,20.3,36.5,639.31
2026-01-03,MANDI015,35.29,26.51111111111111,458.84000000000003
2026-01-03,MANDI016,6.7,23.38888888888889,772.4300000000001
2026-01-03,MANDI018,32.147999999999996,17.455555555555556,270.79
2026-01-03,MANDI021,36.6,27.38888888888889,373.9
2026-01-03,MANDI023,20.901333333333334,23.333333333333332,800.1
2026-01-03,MANDI025,18.901999999999997,28.88888888888889,292.49
2026-01-03,MANDI026,34.798,26.21111111111111,85.7
2026-01-03,MANDI028,22.028666666666666,38.2,35.86
2026-01-03,MANDI029,19.245,26.95,187.8
2026-01-03,MANDI030,35.2,25.2,172.62
2026-01-03,MANDI032,35.81399999999999,39.0,432.17
2026-01-03,MANDI033,41.7,22.6,399.92999999999995
2026-01-03,MANDI035,31.242,26.22222222222222,428.52
2026-01-03,MANDI036,28.28933333333333,17.75925925925926,386.18
2026-01-03,MANDI038,,24.2,355.28
2026-01-03,MANDI039,32.166666666666664,21.40555555555555,263.58
2026-01-03,MANDI040,14.950000000000001,20.861111111111114,87.06
2026-01-03,MANDI041,,25.222222222222225,1114.19
2026-01-03,MANDI042,43.4,20.3,227.48
2026-01-03,MANDI044,,18.4,1182.25
2026-01-03,MANDI045,27.788,26.099999999999998,218.62
2026-01-03,MANDI047,17.229333333333333,28.85185185185185,365.83
2026-01-03,MANDI049,10.1,15.3,520.64
2026-01-04,MANDI001,34.036,33.7,953.06
2026-01-04,MANDI007,14.3,31.2,236.55
2026-01-04,MANDI008,34.835,28.15,268.25
2026-01-04,MANDI009,15.65,31.261111111111113,396.86
2026-01-04,MANDI010,,38.9,279.35
2026-01-04,MANDI011,37.6,31.4,476.37
2026-01-04,MANDI013,17.4,29.11111111111111,290.87
2026-01-04,MANDI015,31.4,22.405555555555555,1029.06
2026-01-04,MANDI018,,,386.84
2026-01-04,MANDI019,40.809333333333335,36.2,249.78000000000003
2026-01-04,MANDI021,16.34,28.6,933.63
2026-01-04,MANDI023,47.0,38.2,466.13
2026-01-04,MANDI026,24.701999999999998,25.53888888888889,226.23
2026-01-04,MANDI027,49.3,21.944444444444446,672.3
2026-01-04,MANDI028,31.3,23.4,323.09
2026-01-04,MANDI030,44.7,37.72222222222222,420.11
2026-01-04,MANDI031,5.1,25.500000000000004,54.69
2026-01-04,MANDI036,,20.7,381.96000000000004
2026-01-04,MANDI038,9.398,20.3,561.5699999999999
2026-01-04,MANDI039,0.6,,112.35999999999999
2026-01-04,MANDI040,21.0,31.3,308.12
2026-01-04,MANDI041,10.6,30.0,338.51
2026-01-04,MANDI043,31.6,30.2,692.8699999999999
2026-01-04,MANDI047,,,221.63
2026-01-04,MANDI048,,29.9,231.5
2026-01-04,MANDI049,11.1,39.1,401.95
2026-01-04,MANDI050,34.3,,321.11
2026-01-05,MANDI001,23.75,31.0,307.42
2026-01-05,MANDI003,27.35,30.049999999999997,941.5200000000001
2026-01-05,MANDI005,,23.1,642.04
2026-01-05,MANDI006,33.75,34.75,232.15
2026-01-05,MANDI011,34.3,,329.72
2026-01-05,MANDI012,28.0,39.1,224.36
2026-01-05,MANDI013,39.150000000000006,35.0,879.25
2026-01-05,MANDI019,7.1,21.094444444444445,496.78
2026-01-05,MANDI020,44.0,27.6,1197.85
2026-01-05,MANDI022,31.9,35.72222222222222,510.14
2026-01-05,MANDI023,1.8,21.6,1380.38
2026-01-05,MANDI026,28.261499999999998,27.197222222222223,238.81
2026-01-05,MANDI027,,17.22222222222222,813.53
2026-01-05,MANDI029,45.339,27.2,441.76
2026-01-05,MANDI034,23.7,38.3,416.38
2026-01-05,MANDI035,23.2,36.4,157.31
2026-01-05,MANDI036,23.46666666666667,35.7,209.24
2026-01-05,MANDI038,24.411333333333335,35.455555555555556,212.3
2026-01-05,MANDI040,16.5,27.21111111111111,1005.65
2026-01-05,MANDI042,14.8,27.329629629629633,792.52
2026-01-05,MANDI044,,26.1,154.56
2026-01-05,MANDI046,30.900000000000002,,405.30999999999995
2026-01-05,MANDI048,6.0,,710.47
2026-01-06,MANDI003,36.925,30.361111111111114,359.31
2026-01-06,MANDI004,33.9,29.77037037037037,75.99
2026-01-06,MANDI005,36.322,,157.92
2026-01-06,MANDI006,18.0,16.0,514.5899999999999
2026-01-06,MANDI007,36.1,35.22222222222222,1110.08
2026-01-06,MANDI012,13.6,32.72222222222222,32.91
2026-01-06,MANDI013,14.4,26.088888888888885,644.19
2026-01-06,MANDI014,46.4,17.0,87.92
2026-01-06,MANDI016,44.4,33.05555555555556,732.1099999999999
2026-01-06,MANDI017,,34.4,677.91
2026-01-06,MANDI019,20.2,24.61111111111111,1300.1
2026-01-06,MANDI020,39.6,21.8,505.91
